iso,pays,annee,perte_biomasse_Mg,perte_surface_ha
ALB,Albanie,2002,151495.99460935686,889.517115480973
AND,Andorre,2002,230.54803478801384,1.2550222235396196
ARG,Argentine,2002,10251173.244742844,105001.86224591538
ARM,Armenie,2002,23932.891728205075,172.5385911779769
ATG,Antigua-et-Barbuda,2002,2114.7832052997933,17.65604165252552
AUS,Australie,2002,21572308.051421024,312151.11535341037
AUT,Autriche,2002,2028925.1948379555,10902.149877053293
AZE,Azerbaidjan,2002,126657.16062233728,1154.2059428666385
BDI,Burundi,2002,128724.74001499116,986.9362125527143
BEL,Belgique,2002,495986.3745202149,2348.3905956574586
BEN,Benin,2002,390416.08850034606,3480.187346087511
BES,Pays-Bas caribeens,2002,225.76540452983525,2.1064574574663926
BFA,Burkina Faso,2002,443.05823205379886,4.302910899820299
BGD,Bangladesh,2002,863128.4846450887,3995.2875738141192
BGR,Bulgarie,2002,576837.974710504,4638.738812430541
BHS,Bahamas,2002,61053.99725334511,700.9761365211115
BIH,Bosnie-Herzegovine,2002,123288.17460358833,692.6588558243585
BLR,Bielorussie,2002,3142145.8394449167,25383.415701556798
BLZ,Belize,2002,2220889.5092349756,13473.730510588819
BMU,Bermudes,2002,94.05569100944251,0.7179594019260316
BOL,Bolivie,2002,32807041.555455603,178807.97117095988
BRA,Bresil,2002,661499600.7300519,3507049.440359025
BRB,Barbade,2002,1459.8292037132069,11.391981560742126
BRN,Brunei Darussalam,2002,310221.70325912256,1088.8455974204983
BTN,Bhoutan,2002,57672.37651601994,223.93488153852286
BWA,Botswana,2002,1418.6935395162657,22.788998625377438
CAF,Republique centrafricaine,2002,6792630.35893979,34417.72160764836
CAN,Canada,2002,172158157.3771379,2316887.665334143
CHE,Suisse,2002,183685.57563317782,881.3039026888928
CHL,Chili,2002,10418756.391716266,78080.97298225135
CHN,Chine,2002,43539577.7395571,249150.96008045823
CIV,Cote d Ivoire,2002,23081362.712778643,144559.9075092132
CMR,Cameroun,2002,6366561.617893697,28766.95157050452
COD,Republique democratique du Congo,2002,117511248.41769162,514476.68819954887
COG,Republique du Congo,2002,5400150.087142929,24310.14237997483
COL,Colombie,2002,40482142.68280554,182229.15244789922
COM,Comores,2002,9456.964191060451,41.20393423425391
CPV,Cap-Vert,2002,,22.834003097300194
CRI,Costa Rica,2002,2529343.1107307626,13289.149086102809
CUB,Cuba,2002,1686057.0055191936,15035.847383200258
CYM,Iles Cayman,2002,538.5926159776375,5.598244417065943
CYP,Chypre,2002,3035.711763311957,31.743244021041573
CZE,Republique tcheque,2002,1226025.2785043246,6766.437908201766
DEU,Allemagne,2002,2907405.0784614393,15303.26237489147
DMA,Dominique,2002,2922.479929127263,11.874708039938657
DNK,Danemark,2002,130322.6846459771,1204.4899390254138
DOM,Republique dominicaine,2002,1540498.2231101375,10435.979869661624
DZA,Algerie,2002,334015.08750578633,3009.8331206448784
ECU,equateur,2002,7435056.260739067,29779.429854858303
EGY,egypte,2002,4144.0716759681545,48.81325058290799
ESP,Espagne,2002,5028586.575499256,37699.01980963841
EST,Estonie,2002,2212774.62571709,21918.38645401351
ETH,ethiopie,2002,2223903.7440973055,13074.087408975938
FIN,Finlande,2002,11875407.815051787,142432.40404869866
FJI,Fidji,2002,159540.08588879922,703.2099391412208
FRA,France,2002,5786511.705208789,33888.39717184106
GAB,Gabon,2002,3353439.7114757313,13851.846661664193
GBR,Royaume-Uni,2002,3163571.1463904562,20112.349959705163
GEO,Georgie,2002,87763.0044720701,536.442198025113
GGY,Guernesey,2002,3.927114164491964,0.05034761749348672
GHA,Ghana,2002,13277191.951466544,78395.05298355916
GIN,Guinee,2002,4331183.421901661,28933.474289871145
GLP,Guadeloupe,2002,8153.350235446931,50.88541895784098
GMB,Gambie,2002,3801.8778563198794,40.15764073963706
GNB,Guinee-Bissau,2002,754250.7965041852,6073.797258919804
GNQ,Guinee equatoriale,2002,798472.8375952531,2986.110544178514
GRC,Grece,2002,522086.64416228817,5126.049313139805
GRD,Grenade,2002,14612.356887273465,65.8377468629773
GTM,Guatemala,2002,9613455.227756135,55600.93461324519
GUF,Guyane française,2002,805998.6192457849,2496.7037489298177
GUY,Guyane,2002,1317758.338156454,4827.3949791996965
HKG,Hong Kong,2002,3083.1075194339987,15.611556408296558
HND,Honduras,2002,5572002.500224446,31528.012327830373
HRV,Croatie,2002,375320.9836932463,2340.1794921757805
HTI,Haiti,2002,279427.32355882507,2120.380504839118
HUN,Hongrie,2002,1183783.9889512742,7711.037369611759
IDN,Indonesie,2002,201726550.01118192,855275.8630337354
IMN,Ile de Man,2002,1720.882525320291,13.664859799248466
IND,Inde,2002,11660219.230230305,53005.48774299047
IRL,Irlande,2002,966547.8895179011,5298.280939397979
IRN,Iran,2002,58884.04500962439,557.7523710477832
IRQ,Irak,2002,1185.085382893622,10.620060314959943
ISR,Israel,2002,11063.333306072524,111.7306785021031
ITA,Italie,2002,1338975.5532300696,10931.227553919234
JAM,Jamaique,2002,308766.7082295494,1647.5706370802961
JEY,Jersey,2002,107.18293093306248,0.8103738939713081
JOR,Jordanie,2002,20.072361587559623,0.19610755832464163
JPN,Japon,2002,4571111.6473685745,26154.0398337163
KAZ,Kazakhstan,2002,340956.19111925166,2952.306623724583
KEN,Kenya,2002,4178210.1640735576,20287.526219996216
KGZ,Kirghizistan,2002,34038.52118105385,305.4574797933954
KHM,Cambodge,2002,11560493.170789653,54862.076200413256
KNA,Saint-Kitts-et-Nevis,2002,3242.6972264943743,19.790750576735178
KOR,Coree du Sud,2002,557601.3521521299,4705.326871873461
LAO,Laos,2002,12215623.093113253,55936.73071271774
LBN,Liban,2002,8005.2195837993695,81.20045903567225
LBR,Liberia,2002,10544475.857295312,56984.42382034303
LBY,Libye,2002,3621.363469092565,40.245663534417986
LCA,Sainte-Lucie,2002,2390.6387651290083,10.91096809322363
LKA,Sri Lanka,2002,547054.6286457228,3427.6803855262933
LSO,Lesotho,2002,310.534541566659,2.6871395636220567
LTU,Lituanie,2002,1234570.2247187607,10344.838189749194
LUX,Luxembourg,2002,19306.900234857676,90.45691516310859
LVA,Lettonie,2002,3342603.129592343,29175.988194340207
MAC,Macao,2002,,0.9282073810158357
MAR,Maroc,2002,447416.31497716444,3923.517827112949
MDA,Moldavie,2002,26548.44447822137,229.79642069759677
MDG,Madagascar,2002,17777416.65522608,89317.5141867466
MEX,Mexique,2002,20551493.045318004,158834.1253816231
MKD,Macedoine,2002,124311.06733550255,890.1837635458385
MLI,Mali,2002,23661.17767416546,175.29044283418375
MLT,Malte,2002,190.95196241141576,1.7529613985416561
MMR,Myanmar,2002,14474022.297847848,66119.68070808114
MNE,Montenegro,2002,32810.34614455627,179.62077121493076
MNG,Mongolie,2002,1675500.6078387515,18728.019954939115
MOZ,Mozambique,2002,14193477.34522766,106658.33763229742
MSR,Montserrat,2002,361.4320926496496,1.6227298703514703
MTQ,Martinique,2002,10026.4855053448,48.8622487099035
MUS,Maurice,2002,33853.09243042004,154.42996053035324
MWI,Malawi,2002,701172.4488495452,4189.572627992694
MYS,Malaisie,2002,72100639.77751063,312553.7873327667
MYT,Mayotte,2002,4763.816878767592,20.86919036274008
NAM,Namibie,2002,9523.58677866405,108.00721822763501
NCL,Nouvelle-Caledonie,2002,93312.61211775661,626.8680587895835
NER,Niger,2002,47.49927263945206,0.6764164435855735
NGA,Nigeria,2002,4606323.137397064,32346.710063956103
NIC,Nicaragua,2002,11243129.622916022,54194.49468965781
NLD,Pays-Bas,2002,128882.10935460796,824.5813585614009
NOR,Norvege,2002,2402121.7703443337,26635.753194629622
NPL,Nepal,2002,574607.5073279886,2128.643309649215
NZL,Nouvelle-Zelande,2002,11799129.32314945,63227.927104114395
PAK,Pakistan,2002,62206.29640562566,325.01175241510794
PAN,Panama,2002,3943975.5443555433,19200.13717900567
PER,Perou,2002,21101292.516942665,80452.0858187252
PHL,Philippines,2002,7536090.787093429,32309.189261615636
PLW,Palau,2002,24796.055521131162,75.30077103793154
PNG,Papouasie-Nouvelle-Guinee,2002,15864029.799355961,54575.502202833624
POL,Pologne,2002,4202730.71694229,31070.1397903704
PRI,Puerto Rico,2002,201282.1002775824,1168.095777507669
PRK,Coree du Nord,2002,609855.9748919278,5358.227207026502
PRT,Portugal,2002,4233867.0703674015,34903.34914563308
PRY,Paraguay,2002,19753487.93291296,195124.6397732335
PSE,Palestine,2002,154.49591829114374,1.8302871145465787
REU,Reunion,2002,93726.85856859373,502.66837523476784
ROU,Roumanie,2002,2963027.1524898876,16356.445451253865
RUS,Russie,2002,196366633.29178125,2700384.1538295997
RWA,Rwanda,2002,127407.38678732519,941.3387180415666
SDN,Soudan,2002,7844.3251866014725,76.100355817295
SEN,Senegal,2002,20488.3676409634,164.43055442047134
SGP,Singapour,2002,19019.01678536718,123.51699899682126
SLB,Iles Salomon,2002,1163751.723369556,3866.1066676061364
SLE,Sierra Leone,2002,2152827.9004121,15310.241971847769
SLV,Salvador,2002,715529.1208382173,4666.509817077913
